iter	Passed	Remaining
235	492	1592
236	493	1587
237	494	1581
238	495	1576
239	496	1572
240	497	1567
241	498	1562
242	499	1556
243	500	1551
244	502	1547
245	503	1542
246	504	1536
247	505	1532
248	506	1528
249	507	1523
250	508	1517
251	509	1512
252	511	1508
253	512	1504
254	513	1499
255	514	1494
256	515	1490
257	517	1486
258	517	1481
259	518	1477
260	520	1472
261	521	1469
262	522	1464
263	523	1459
264	524	1454
265	525	1450
266	526	1446
267	527	1442
268	529	1437
269	529	1432
270	530	1427
271	531	1423
272	533	1419
273	534	1414
274	535	1410
275	536	1406
276	537	1403
277	538	1399
278	539	1395
279	540	1390
280	541	1386
281	543	1382
282	544	1378
283	545	1374
284	546	1369
285	546	1365
286	548	1361
287	549	1357
288	549	1352
289	551	1349
290	552	1346
291	553	1342
292	554	1338
293	555	1334
294	556	1330
295	557	1327
296	559	1323
297	560	1319
298	561	1316
299	562	1312
300	563	1308
301	564	1305
302	565	1300
303	566	1296
304	567	1292
305	568	1288
306	569	1285
307	570	1281
308	571	1277
309	571	1273
310	572	1269
311	573	1265
312	575	1262
313	576	1258
314	577	1255
315	578	1251
316	579	1248
317	580	1245
318	581	1241
319	582	1237
320	583	1234
321	584	1230
322	585	1227
323	586	1223
324	587	1220
325	588	1217
326	589	1214
327	591	1211
328	592	1207
329	593	1204
330	594	1201
331	595	1198
332	596	1195
333	597	1192
334	598	1188
335	599	1185
336	600	1182
337	602	1179
338	603	1175
339	604	1172
340	604	1169
341	606	1166
342	607	1163
343	608	1160
344	609	1157
345	611	1154
346	612	1152
347	613	1149
348	614	1146
349	615	1142
350	616	1140
351	617	1137
352	618	1134
353	619	1131
354	621	1128
355	622	1125
356	623	1123
357	624	1119
358	625	1116
359	626	1114
360	628	1111
361	629	1108
362	630	1105
363	631	1102
364	632	1099
365	633	1097
366	634	1094
367	635	1092
368	637	1089
369	638	1086
370	639	1084
371	640	1081
372	641	1078
373	643	1076
374	644	1073
375	645	1071
376	646	1068
377	647	1066
378	649	1063
379	650	1060
380	651	1057
381	652	1054
382	653	1052
383	654	1049
384	655	1047
385	656	1044
386	657	1041
387	659	1039
388	660	1037
389	661	1034
390	662	1032
391	663	1029
392	665	1027
393	666	1024
394	667	1022
395	668	1019
396	669	1017
397	671	1015
398	672	1012
399	673	1010
400	674	1007
401	675	1004
402	676	1002
403	677	999
404	678	996
405	679	994
406	681	992
407	682	989
408	683	986
409	683	984
410	685	981
411	686	979
412	687	976
413	688	974
414	688	971
415	689	968
416	691	966
417	692	963
418	693	961
419	694	958
420	695	956
421	696	953
422	697	951
423	698	948
424	699	945
425	700	943
426	700	940
427	702	938
428	702	935
429	704	933
430	705	930
431	705	928
432	707	925
433	708	923
434	709	921
435	710	918
436	710	915
437	712	913
438	713	911
439	714	909
440	715	907
441	716	904
442	717	902
443	719	900
444	720	898
445	721	896
446	723	894
447	724	892
448	725	890
449	727	889
450	728	887
451	730	885
452	731	882
453	732	880
454	733	878
455	734	876
456	735	874
457	736	871
458	737	869
459	740	869
460	741	866
461	742	864
462	743	862
463	744	860
